name,prompt,negative_prompt,detailed_prompt,very_detailed_prompt
cinematic-default,"cinematic still {prompt} . emotional, harmonious, vignette, highly detailed, high budget, bokeh, cinemascope, moody, epic, gorgeous, film grain, grainy","anime, cartoon, graphic, text, painting, crayon, graphite, abstract, glitch, deformed, mutated, ugly, disfigured","A cinematic still of an {prompt}, featuring emotional resonance, a harmonious composition with a vignette effect, high-detail rendering, suggestive of a high-budget production with bokeh elements, cinemascope aspect ratio, a moody and epic atmosphere, stunningly gorgeous with film grain texture adding to its grainy, vintage appeal.","Imagine a cinematic still of an {prompt}, captured in a scene that exudes emotional depth and harmonious composition. The scene is meticulously detailed, reflecting a high-budget production. It features a rich bokeh effect that gently blurs the background, highlighting the {prompt} in cinemascope format. The atmosphere is moody and epic, infused with a sense of grandeur. The color palette is both gorgeous and slightly grainy, reminiscent of classic film textures, adding a nostalgic, timeless quality. Each element, from lighting to the positioning of the {prompt}, is crafted to convey a story, making the still not just a picture, but a moment frozen in time, full of narrative and emotional weight."
sai-3d-model,"professional 3d model {prompt} . octane render, highly detailed, volumetric, dramatic lighting","ugly, deformed, noisy, low poly, blurry, painting","A professional 3D model of an {prompt}, rendered in Octane with high detail, dramatic and volumetric lighting emphasizing the {prompt}'s features in a dramatic and impactful way.","Envision a professional 3D model of an {prompt}, rendered with stunning clarity using Octane. The model showcases highly detailed features, with each texture and surface meticulously crafted. Dramatic and volumetric lighting casts strategically placed shadows and highlights, emphasizing the {prompt}'s form and enhancing its three-dimensional appearance. The lighting setup creates a sense of depth and realism, making the {prompt} almost tangible. The model, set against a subtly graduated background, is the focal point, demonstrating a balance of technical precision and artistic flair. This representation is not just a model; it's a showcase of skillful 3D artistry, where the {prompt} comes to life through the interplay of light, shadow, and detailed textures."
sai-analog film,"analog film photo {prompt} . faded film, desaturated, 35mm photo, grainy, vignette, vintage, Kodachrome, Lomography, stained, highly detailed, found footage","painting, drawing, illustration, glitch, deformed, mutated, cross-eyed, ugly, disfigured","An analog film photo of an {prompt}, capturing the essence of 35mm photography with a faded film look, desaturated colors, grainy texture, vignette borders, evoking a vintage Kodachrome or Lomography style, stained and highly detailed like found footage.","Picture an analog film photo of an {prompt}, rendered in a style that harkens back to the classic era of 35mm photography. The image has a faded film look, with desaturated colors that evoke a sense of nostalgia. The grainy texture adds a tactile, organic quality to the photo, reminiscent of vintage Kodachrome or Lomography films. The {prompt} is framed with a subtle vignette, drawing the viewer's eye to the center. This photo, with its vintage, stained appearance, appears as if it's a precious found footage from a bygone era. The high level of detail in the photo ensures that every aspect of the {prompt}, from its contours to its texture, is captured with authenticity, telling a story of its own."
sai-anime,"anime artwork {prompt} . anime style, key visual, vibrant, studio anime, highly detailed","photo, deformed, black and white, realism, disfigured, low contrast","An anime artwork of an {prompt}, depicted in a vivid anime style with key visual elements, vibrant colors, and the high detail typical of studio anime productions.","Imagine an anime artwork of an {prompt}, rendered in a style that is vividly vibrant and full of life, typical of high-quality studio anime productions. The artwork features key visual elements that are characteristic of anime, with an emphasis on bright, eye-catching colors and clean, precise lines. The {prompt} is depicted with a high level of detail, making it stand out dramatically against a beautifully crafted background that complements its form. The artwork balances the unique stylistic elements of anime - exaggerated expressions and dynamic compositions - while maintaining a sense of realism in the portrayal of the {prompt}. This fusion creates an image that is both fantastical and believable, inviting viewers into an anime world where the {prompt} is the star."
sai-cinematic,"cinematic film still {prompt} . shallow depth of field, vignette, highly detailed, high budget, bokeh, cinemascope, moody, epic, gorgeous, film grain, grainy","anime, cartoon, graphic, text, painting, crayon, graphite, abstract, glitch, deformed, mutated, ugly, disfigured","A cinematic film still of an {prompt}, showcasing shallow depth of field, vignette, high detail, suggestive of a high budget production, with bokeh effects, cinemascope format, creating a moody, epic, and gorgeous visual, accompanied by a grainy film texture.","Visualize a cinematic film still of an {prompt}, where every detail is crafted to cinematic perfection. The {prompt} rests at the forefront, cradled by a shallow depth of field that blurs the background into a soft bokeh, accentuating its features. The vignette bordering the image adds to the dramatic focus, with every texture and contour of the {prompt} rendered in exquisite detail, indicative of a lavish production. The lighting is moody, crafting epic contrasts and a sense of gorgeous, somber atmosphere. Film grain textures overlay the scene, providing a gritty, tactile quality that whispers stories of filmic lore. This {prompt} is not merely depicted; it's celebrated in a frame that encapsulates the essence of cinematic artistry."
sai-comic book,"comic {prompt} . graphic illustration, comic art, graphic novel art, vibrant, highly detailed","photograph, deformed, glitch, noisy, realistic, stock photo","A comic-style illustration of an {prompt}, rendered as graphic novel art, with vibrant colors and highly detailed comic art style.","Create an image as if it's leaped from the pages of a high-caliber comic book, where an {prompt} takes center stage. It's illustrated with bold, graphic lines and a vibrant palette, imbuing the scene with energy and movement. The {prompt} is detailed with such precision that each line contributes to a narrative, suggesting a backstory and a life beyond the page. Shadows and highlights are not mere accents but narrative tools that add depth and dimension, creating a sense of space. The environment around the {prompt} hints at a larger world, one that's full of color, action, and the unmistakable style of graphic novel art, making the {prompt} not just a part of the story but a character in its own right."
sai-craft clay,"play-doh style {prompt} . sculpture, clay art, centered composition, Claymation","sloppy, messy, grainy, highly detailed, ultra textured, photo","A Play-Doh style clay art representation of an {prompt}, sculpted in a Claymation-like manner, centered composition, emphasizing the playful and tactile nature of clay art.","Picture a Play-Doh style clay art of an {prompt}, sculpted with joyful creativity and centered in composition. The {prompt}, though crafted from clay, is imbued with a sense of liveliness, its colors bold and primary. The tactile surface is visible, with fingerprints and indentations that tell of its handmade origin. Each curve and angle is molded with care, giving the {prompt} a playful yet deliberate form. This Claymation-like artwork captures the whimsy of childhood but with a sophistication that appeals to the collector's eye. It's a celebration of simplicity and craft, where the {prompt}'s form is honored through the charming imperfection of clay art."
sai-digital art,"concept art {prompt} . digital artwork, illustrative, painterly, matte painting, highly detailed","photo, photorealistic, realism, ugly","A concept art piece of an {prompt}, digitally rendered with a painterly style, illustrative and matte painting techniques, showcasing high detail.","Envision a concept art piece of an {prompt}, digitally painted to evoke wonder and intrigue. The {prompt} is imagined with such detail and texture that it seems to transcend the screen, inviting the viewer to reach out and touch the virtual canvas. Artistic brushstrokes blend with digital precision, creating a painterly effect that's rich in color and depth. The background is a matte painting, a vista that complements the {prompt}'s form and function. Every pixel is placed with intent, constructing an image that's as evocative as it is illustrative. This digital masterpiece captures the essence of the {prompt}, placing it within a larger, breathtaking world that's ripe for exploration."
sai-enhance,"breathtaking {prompt} . award-winning, professional, highly detailed","ugly, deformed, noisy, blurry, distorted, grainy","A breathtaking depiction of an {prompt}, rendered with award-winning professionalism and high detail, capturing the viewer's attention and admiration.","Visualize a breathtaking portrayal of an {prompt}, where the craftsmanship is award-winning and professionalism shines through every detail. This depiction of the {prompt} transcends mere representation; it captures its essence in a way that is both awe-inspiring and deeply moving. The details are not just seen but felt, each contributing to a narrative that surrounds the {prompt}. The lighting, texture, and composition are all meticulously crafted to enhance the {prompt}'s innate beauty, making it not just a focal point but a masterpiece. This image is a testament to the art of enhancement, where every aspect is elevated to create a truly unforgettable visual experience."
sai-fantasy art,"ethereal fantasy concept art of {prompt} . magnificent, celestial, ethereal, painterly, epic, majestic, magical, fantasy art, cover art, dreamy","photographic, realistic, realism, 35mm film, dslr, cropped, frame, text, deformed, glitch, noise, noisy, off-center, cross-eyed, closed eyes, bad anatomy, ugly, disfigured, sloppy, duplicate, mutated, black and white","An ethereal fantasy concept art of an {prompt}, magnificent and celestial in nature, with an ethereal and painterly style, epic, majestic, and magical, reminiscent of fantasy art cover art, dreamy and highly detailed.","Imagine an ethereal fantasy concept art of an {prompt}, where it's not just depicted but celebrated in a celestial, painterly style. The {prompt} is bathed in magnificent, magical light, making it appear otherworldly and majestic. It's set against a backdrop of a dreamlike fantasy realm, where every element complements its majesty. The artwork is rich with epic, magical elements, turning the {prompt} into a relic of a fantastical world. The colors are vibrant yet ethereal, and the details are so intricate that they seem to whisper tales of ancient magic and celestial wonder. This is not just concept art; it's a portal to a magnificent, magical universe where the {prompt} is a treasured artifact."
sai-isometric,"isometric style {prompt} . vibrant, beautiful, crisp, detailed, ultra detailed, intricate","deformed, mutated, ugly, disfigured, blur, blurry, noise, noisy, realistic, photographic","An isometric style illustration of an {prompt}, vibrant, beautiful, with crisp and ultra-detailed rendering, showcasing intricate design elements.","Envision an isometric style illustration of an {prompt}, where the world is reimagined in a vibrant, ultra-detailed, and crisp manner. The {prompt} is depicted in a unique isometric perspective, giving it a three-dimensional quality that is both intricate and visually striking. The colors are rich and beautiful, each hue carefully chosen to highlight the {prompt}'s features. The details are so meticulous that they invite close inspection, revealing a world within a world. This style isn't just about the {prompt}; it's about creating a miniature universe where the {prompt} is the star, set in a scene that's as detailed as it is imaginative."
sai-line art,"line art drawing {prompt} . professional, sleek, modern, minimalist, graphic, line art, vector graphics","anime, photorealistic, 35mm film, deformed, glitch, blurry, noisy, off-center, cross-eyed, closed eyes, bad anatomy, ugly, disfigured, mutated, realism, realistic, impressionism, expressionism, oil, acrylic","A line art drawing of an {prompt}, professional and sleek, modern yet minimalist, employing graphic line art and vector graphics techniques.","Picture a line art drawing of an {prompt}, where the simplicity of lines converges to create a sleek, modern, and minimalist masterpiece. The {prompt} is rendered with such precision and elegance that each line tells a part of its story. The artwork is a symphony of sleek lines and curves, each stroke deliberate and purposeful. This style strips away the superfluous, focusing on the essence of the {prompt}, capturing its spirit in a dance of light and shadow. The use of negative space is as important as the lines themselves, creating a balance that is both graphically striking and artistically profound. This isn't just a drawing; it's a testament to the power of simplicity and elegance in art."
sai-lowpoly,"low-poly style {prompt} . low-poly game art, polygon mesh, jagged, blocky, wireframe edges, centered composition","noisy, sloppy, messy, grainy, highly detailed, ultra textured, photo","A low-poly style representation of an {prompt}, characteristic of low-poly game art, with polygon mesh, jagged and blocky appearance, wireframe edges, and a centered composition.","Imagine a low-poly style representation of an {prompt}, where the essence of minimalist design is captured through a polygon mesh. Each facet and edge of the {prompt} is intentionally jagged and blocky, creating a unique, geometric aesthetic that is both modern and reminiscent of early digital art. The colors are vibrant yet constrained within the low-poly palette, adding to the abstract charm. The {prompt}, central in composition, is a study in how simplicity can reveal complexity, each polygonal surface reflecting light and creating depth. This style transforms the ordinary into a piece of digital artistry, where less is more and every angle tells a story."
sai-neonpunk,"neonpunk style {prompt} . cyberpunk, vaporwave, neon, vibes, vibrant, stunningly beautiful, crisp, detailed, sleek, ultramodern, magenta highlights, dark purple shadows, high contrast, cinematic, ultra detailed, intricate, professional","painting, drawing, illustration, glitch, deformed, mutated, cross-eyed, ugly, disfigured","A neonpunk style depiction of an {prompt}, blending cyberpunk and vaporwave aesthetics, with neon vibrancy, stunning beauty, crisp and sleek ultramodern design, magenta highlights and dark purple shadows, high contrast, cinematic and ultra-detailed intricacy.","Envision a neonpunk style image of an {prompt}, where the essence of cyberpunk and vaporwave aesthetics merge to create a stunningly beautiful, vibrant masterpiece. The {prompt} is illuminated with neon lights, casting dramatic magenta highlights and dark purple shadows that create a high-contrast, ultramodern look. The background is a blend of sleek, futuristic elements and nostalgic retro vibes, making the {prompt} appear as though it's part of a cinematic cyberpunk universe. Every detail is crisp, and the overall composition is both sleek and detailed, capturing the essence of a neon-infused, ultramodern world where technology and art collide in dazzling display."
sai-origami,"origami style {prompt} . paper art, pleated paper, folded, origami art, pleats, cut and fold, centered composition","noisy, sloppy, messy, grainy, highly detailed, ultra textured, photo","An origami style artwork of an {prompt}, showcasing the art of paper folding with pleated paper, intricate folds, and the centered composition typical of origami art.","Picture an origami style artwork of an {prompt}, where the traditional art of paper folding is brought to life with intricate detail and precision. The {prompt}, crafted from pleated paper, showcases the delicate art of origami, with each fold and crease contributing to its three-dimensional form. The artwork is centered, highlighting the {prompt}'s symmetry and the skillful craftsmanship involved in its creation. This style is not just about replicating the {prompt}; it's about transforming a simple sheet of paper into a complex, beautiful representation that captures the essence of the {prompt} through the art of folding."
sai-photographic,"cinematic photo {prompt} . 35mm photograph, film, bokeh, professional, 4k, highly detailed","drawing, painting, crayon, sketch, graphite, impressionist, noisy, blurry, soft, deformed, ugly","A cinematic photo of an {prompt}, captured in the style of a 35mm film photograph, with bokeh elements, professional 4k resolution, and high detail.","Imagine a cinematic photo of an {prompt}, captured with the finesse and detail of a 35mm film photograph. The {prompt} is highlighted with professional lighting, creating a bokeh effect that adds depth and focus. The high-resolution image brings out the finest details of the {prompt}, making it appear lifelike and tangible. The composition is reminiscent of classic cinema, with a sense of narrative and emotion woven into the frame. This style is more than just a photograph; it's a cinematic moment, where the {prompt} is not only seen but felt, evoking a sense of drama and beauty akin to a film still."
sai-pixel art,"pixel-art {prompt} . low-res, blocky, pixel art style, 8-bit graphics","sloppy, messy, blurry, noisy, highly detailed, ultra textured, photo, realistic","A pixel-art style representation of an {prompt}, rendered in a low-res, blocky pixel art style, evoking the charm of 8-bit graphics.","Envision a pixel-art style representation of an {prompt}, where the charm of low-resolution, blocky aesthetics of 8-bit graphics is celebrated. Each pixel is deliberately placed to create an image that, while seemingly simple, reveals a complex and nostalgic beauty. The {prompt}, rendered in vibrant colors, stands out in a grid of pixelated detail, evoking the golden era of classic video games. This style is a blend of art and digital nostalgia, where the limitations of pixel art become strengths, showcasing how a handful of squares can come together to tell a vivid story, one pixel at a time."
sai-texture,texture {prompt} top down close-up,"ugly, deformed, noisy, blurry","A top-down close-up texture of an {prompt}, showcasing intricate details and textural qualities, inviting the viewer to explore the {prompt}'s surface.","Imagine a top-down close-up texture image of an {prompt}, focusing on the intricate details and textural qualities that give it character. The image captures every nuance of the {prompt}'s surface, from the subtle variations in color to the tactile feel of its material. The close-up perspective allows for an immersive experience, drawing the viewer in to explore the minute details that are often overlooked. This style is about celebrating the beauty found in the textures of the world, turning a simple {prompt} into a landscape of tactile wonder, inviting the viewer to feel the image with their eyes."
ads-advertising,"Advertising poster style {prompt} . Professional, modern, product-focused, commercial, eye-catching, highly detailed","noisy, blurry, amateurish, sloppy, unattractive","An advertising poster style depiction of an {prompt}, professional, modern, product-focused, with a commercial and eye-catching design, highly detailed and tailored for commercial appeal.","Picture an advertising poster style depiction of an {prompt}, where commercial artistry meets captivating design. The {prompt} is the star of the poster, presented with a modern, eye-catching layout that demands attention. The colors are vibrant and the composition is product-focused, making the {prompt} not just visible but desirable. Every detail, from the font choice to the background elements, is crafted to enhance the {prompt}'s appeal, turning the poster into a visual sales pitch. This style is a fusion of art and marketing, where the {prompt} is not only seen but sold, in a frame that blends creativity with commerce."
ads-automotive,"Automotive advertisement style {prompt} . Sleek, dynamic, professional, commercial, vehicle-focused, high-resolution, highly detailed","noisy, blurry, unattractive, sloppy, unprofessional","An automotive advertisement style representation of an {prompt}, sleek, dynamic, professional, emphasizing the vehicle-focused aspects, high-resolution, and highly detailed for a commercial audience.","Envision an automotive advertisement style image of an {prompt}, where dynamic design meets sleek professionalism. The {prompt}, likely a vehicle, is portrayed in a way that accentuates its speed, power, and elegance. The image is high-resolution and highly detailed, showcasing the vehicle's curves, shine, and distinctive features. The background complements the {prompt}, perhaps suggesting motion or luxury, further enhancing its desirability. This style is about more than presenting a product; it's about selling a dream, a lifestyle, making the viewer aspire to own, to drive, to experience the {prompt} in all its automotive glory."
